Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
10_50_1_1_5,123,123,123,123,123,123
10_50_1_2_5,124,127,127,127,127,127
10_50_1_3_5,167,167,167,167,167,167
10_50_1_4_5,222,222,222,222,222,222
10_50_1_5_5,235,244,244,244,244,244
10_50_2_1_5,64,64,64,64,64,64
10_50_2_2_5,85,91,91,91,91,91
10_50_2_3_5,87,91,91,91,91,91
10_50_2_4_5,123,123,123,123,123,123
10_50_2_5_5,242,243,243,243,243,243
10_50_3_1_5,68,81,81,81,81,81
10_50_3_2_5,127,139,139,139,139,139
10_50_3_3_5,155,167,167,167,167,167
10_50_3_4_5,224,224,224,224,224,224
10_50_3_5_5,309,309,309,309,309,309
10_50_4_1_5,47,51,51,51,51,51
10_50_4_2_5,90,90,90,90,90,90
10_50_4_3_5,106,107,107,107,107,107
10_50_4_4_5,138,148,148,148,148,148
10_50_4_5_5,219,220,220,220,220,220
10_100_1_1_5,273,281,281,281,281,281
10_100_1_2_5,296,302,302,302,302,302
10_100_1_3_5,437,438,438,438,438,438
10_100_1_4_5,528,528,528,528,528,528
10_100_1_5_5,631,631,631,631,631,631
10_100_2_1_5,126,126,126,126,126,126
10_100_2_2_5,215,215,215,215,215,215
10_100_2_3_5,160,170,170,170,170,170
10_100_2_4_5,357,357,357,357,357,357
10_100_2_5_5,496,505,505,505,505,505
10_100_3_1_5,111,128,128,128,128,128
10_100_3_2_5,235,235,235,235,235,235
10_100_3_3_5,196,252,252,252,252,252
10_100_3_4_5,448,484,484,484,484,484
10_100_3_5_5,507,591,591,591,591,591
10_100_4_1_5,91,98,98,98,98,98
10_100_4_2_5,180,190,190,190,190,190
10_100_4_3_5,166,182,182,182,182,182
10_100_4_4_5,385,414,414,414,414,414
10_100_4_5_5,504,511,511,511,511,511
10_500_1_1_5,1013,1104,1104,1104,1104,1104
10_500_1_2_5,1376,1598,1598,1598,1598,1598
10_500_1_3_5,1494,1501,1501,1501,1501,1501
10_500_1_4_5,2589,2589,2589,2589,2589,2589
10_500_1_5_5,1943,1943,1943,1943,1943,1943
10_500_2_1_5,541,541,541,541,541,541
10_500_2_2_5,817,847,847,847,847,847
10_500_2_3_5,1216,1233,1233,1233,1233,1233
10_500_2_4_5,1953,1996,1996,1996,1996,1996
10_500_2_5_5,2137,2418,2418,2418,2418,2418
10_500_3_1_5,402,565,565,565,565,565
10_500_3_2_5,620,838,838,838,838,838
10_500_3_3_5,969,1092,1092,1092,1092,1092
10_500_3_4_5,1787,2077,2077,2077,2077,2077
10_500_3_5_5,1972,2342,2342,2342,2342,2342
10_500_4_1_5,545,545,545,545,545,545
10_500_4_2_5,780,788,788,788,788,788
10_500_4_3_5,989,1032,1032,1032,1032,1032
10_500_4_4_5,1938,2013,2013,2013,2013,2013
10_500_4_5_5,2164,2262,2262,2262,2262,2262
10_1000_1_1_5,1136,1185,1185,1185,1185,1185
10_1000_1_2_5,2711,3009,3009,3009,3009,3009
10_1000_1_3_5,3668,3725,3725,3725,3725,3725
10_1000_1_4_5,5794,5794,5794,5794,5794,5794
10_1000_1_5_5,3331,3376,3376,3376,3376,3376
10_1000_2_1_5,1052,1052,1052,1052,1052,1052
10_1000_2_2_5,2048,2139,2139,2139,2139,2139
10_1000_2_3_5,1921,2148,2148,2148,2148,2148
10_1000_2_4_5,3692,3692,3692,3692,3692,3692
10_1000_2_5_5,5369,5421,5421,5421,5421,5421
10_1000_3_1_5,1017,1156,1156,1156,1156,1156
10_1000_3_2_5,1563,1983,1983,1983,1983,1983
10_1000_3_3_5,1320,1589,1589,1589,1589,1589
10_1000_3_4_5,4287,4740,4740,4740,4740,4740
10_1000_3_5_5,4378,4413,4413,4413,4413,4413
10_1000_4_1_5,1091,1136,1136,1136,1136,1136
10_1000_4_2_5,1589,1953,1953,1953,1953,1953
10_1000_4_3_5,1489,1532,1532,1532,1532,1532
10_1000_4_4_5,4438,4676,4676,4676,4676,4676
10_1000_4_5_5,4304,4331,4331,4331,4331,4331
50_50_1_1_5,563,377,563,563,563,563
50_50_1_2_5,801,460,651,802,802,802
50_50_1_3_5,1049,401,702,1052,1052,1052
50_50_1_4_5,1283,561,661,1283,1283,1283
50_50_1_5_5,1206,596,603,1209,1209,1209
50_50_2_1_5,241,211,241,241,241,241
50_50_2_2_5,465,421,463,466,466,466
50_50_2_3_5,599,363,335,599,599,599
50_50_2_4_5,793,369,353,796,796,796
50_50_2_5_5,1077,594,520,1082,1082,1082
50_50_3_1_5,405,332,412,412,412,412
50_50_3_2_5,670,585,354,692,692,692
50_50_3_3_5,893,597,345,897,897,897
50_50_3_4_5,1214,606,356,1240,1240,1240
50_50_3_5_5,1606,732,394,1643,1643,1643
50_50_4_1_5,212,212,212,212,212,212
50_50_4_2_5,399,402,402,402,402,402
50_50_4_3_5,537,409,401,537,537,537
50_50_4_4_5,835,416,374,840,840,840
50_50_4_5_5,1203,542,486,1203,1203,1203
50_100_1_1_5,1493,951,1493,1493,1493,1493
50_100_1_2_5,1629,962,1346,1629,1629,1629
50_100_1_3_5,2088,947,1278,2088,2088,2088
50_100_1_4_5,2448,1170,1236,2449,2449,2449
50_100_1_5_5,2587,1146,1253,2587,2587,2587
50_100_2_1_5,480,434,481,481,481,481
50_100_2_2_5,944,881,944,944,944,944
50_100_2_3_5,1188,769,747,1194,1194,1194
50_100_2_4_5,1732,1028,779,1735,1735,1735
50_100_2_5_5,2355,1244,1064,2355,2355,2355
50_100_3_1_5,604,550,610,610,610,610
50_100_3_2_5,1116,1063,602,1156,1156,1156
50_100_3_3_5,1412,999,467,1462,1462,1462
50_100_3_4_5,2203,1294,694,2230,2230,2230
50_100_3_5_5,2758,1432,650,2851,2851,2851
50_100_4_1_5,420,420,420,420,420,420
50_100_4_2_5,882,886,886,886,886,886
50_100_4_3_5,1111,809,751,1112,1112,1112
50_100_4_4_5,1833,1099,1024,1840,1840,1840
50_100_4_5_5,2391,1242,1136,2411,2411,2411
50_500_1_1_5,5830,3894,5860,5860,5860,5860
50_500_1_2_5,7732,5640,6266,7733,7733,7733
50_500_1_3_5,8846,3925,5776,8846,8846,8846
50_500_1_4_5,10495,5711,6183,10495,10495,10495
50_500_1_5_5,12145,4658,5961,12184,12184,12184
50_500_2_1_5,2617,2462,2645,2645,2645,2645
50_500_2_2_5,5329,4870,5336,5336,5336,5336
50_500_2_3_5,6886,4582,4693,6925,6925,6925
50_500_2_4_5,8734,5246,4512,8773,8773,8773
50_500_2_5_5,9866,5375,4002,9873,9873,9873
50_500_3_1_5,2415,2347,2415,2415,2415,2415
50_500_3_2_5,4574,4541,2260,4632,4632,4632
50_500_3_3_5,6070,4704,1877,6262,6262,6262
50_500_3_4_5,8853,6005,2194,9040,9040,9040
50_500_3_5_5,9999,4845,1534,10445,10445,10445
50_500_4_1_5,2232,2237,2237,2237,2237,2237
50_500_4_2_5,4348,4352,4352,4352,4352,4352
50_500_4_3_5,5910,4544,4451,5912,5912,5912
50_500_4_4_5,8639,6123,5424,8640,8640,8640
50_500_4_5_5,9991,4647,4236,9995,9995,9995
50_1000_1_1_5,10128,5907,10281,10281,10281,10281
50_1000_1_2_5,15724,11462,15814,15814,15814,15814
50_1000_1_3_5,19867,9951,13364,19896,19896,19896
50_1000_1_4_5,21956,11711,10747,21988,21988,21988
50_1000_1_5_5,24283,7968,13088,23473,24330,24330
50_1000_2_1_5,5644,5583,5796,5796,5796,5796
50_1000_2_2_5,9886,9018,9917,9961,9961,9961
50_1000_2_3_5,14491,9733,12011,14634,14634,14634
50_1000_2_4_5,17540,9087,9563,17623,17623,17623
50_1000_2_5_5,19881,11833,8400,19884,19884,19884
50_1000_3_1_5,4455,4680,4015,4770,4770,4770
50_1000_3_2_5,9253,9515,5356,9612,9612,9612
50_1000_3_3_5,13317,9742,4265,13502,13502,13502
50_1000_3_4_5,17112,12072,3666,17706,17706,17705
50_1000_3_5_5,20523,9845,2621,21248,21278,21277
50_1000_4_1_5,4555,4570,4570,4570,4570,4570
50_1000_4_2_5,9345,9352,9352,9352,9352,9352
50_1000_4_3_5,13111,9477,9451,13162,13162,13162
50_1000_4_4_5,17275,11892,10924,17306,17306,17306
50_1000_4_5_5,20703,9655,8736,20828,20828,20827
100_50_1_1_5,1145,550,494,1145,1145,1145
100_50_1_2_5,1587,465,646,1587,1587,1587
100_50_1_3_5,2092,401,608,2093,2093,2093
100_50_1_4_5,2441,561,541,2441,2441,2441
100_50_1_5_5,2343,587,555,2347,2347,2347
100_50_2_1_5,504,429,280,504,504,504
100_50_2_2_5,903,494,323,906,906,906
100_50_2_3_5,1351,363,263,1352,1352,1352
100_50_2_4_5,1721,369,181,1722,1722,1722
100_50_2_5_5,2269,594,227,2272,2272,2272
100_50_3_1_5,813,582,266,817,817,817
100_50_3_2_5,1395,651,253,1411,1411,1411
100_50_3_3_5,1922,597,247,1932,1932,1932
100_50_3_4_5,2479,606,247,2497,2497,2497
100_50_3_5_5,2974,732,243,2978,2978,2978
100_50_4_1_5,407,407,407,407,407,407
100_50_4_2_5,831,461,444,831,831,831
100_50_4_3_5,1202,402,380,1202,1202,1202
100_50_4_4_5,1687,416,364,1687,1687,1687
100_50_4_5_5,2068,542,474,2068,2068,2068
100_100_1_1_5,2710,1116,1253,2722,2722,2722
100_100_1_2_5,3399,1050,1156,3403,3403,3403
100_100_1_3_5,4142,947,1225,4142,4142,4142
100_100_1_4_5,4811,1170,1164,4819,4819,4819
100_100_1_5_5,4976,1146,1153,4976,4976,4976
100_100_2_1_5,1005,777,385,1008,1008,1008
100_100_2_2_5,1803,1128,450,1811,1811,1811
100_100_2_3_5,2472,769,374,2473,2473,2473
100_100_2_4_5,3562,1028,487,3566,3566,3566
100_100_2_5_5,4408,1252,531,4411,4411,4411
100_100_3_1_5,1195,1012,367,1222,1222,1222
100_100_3_2_5,2165,1252,310,2211,2211,2211
100_100_3_3_5,3031,999,284,3062,3062,3062
100_100_3_4_5,4188,1333,355,4220,4220,4220
100_100_3_5_5,5276,1432,313,5343,5343,5343
100_100_4_1_5,832,832,832,832,832,832
100_100_4_2_5,1630,1062,1060,1631,1631,1631
100_100_4_3_5,2352,809,730,2352,2352,2352
100_100_4_4_5,3420,1099,964,3420,3420,3420
100_100_4_5_5,4438,1242,1124,4443,4443,4443
100_500_1_1_5,11084,5725,6819,11175,11175,11175
100_500_1_2_5,14893,5571,4564,14912,14912,14912
100_500_1_3_5,19685,3925,5827,15393,19728,19728
100_500_1_4_5,22902,5711,5497,11891,22929,22929
100_500_1_5_5,26431,4658,5555,10518,26463,26463
100_500_2_1_5,5382,4662,3176,5403,5403,5403
100_500_2_2_5,10045,4948,2132,10083,10083,10083
100_500_2_3_5,14504,4582,3362,14081,14512,14512
100_500_2_4_5,18482,5246,3136,13054,18494,18494
100_500_2_5_5,21826,5434,2282,10193,21826,21826
100_500_3_1_5,4823,4752,1379,4952,4952,4952
100_500_3_2_5,9156,5073,751,9201,9201,9201
100_500_3_3_5,12674,4704,870,12882,12952,12952
100_500_3_4_5,16644,6005,937,15345,16707,16706
100_500_3_5_5,20227,4845,855,11439,20603,20603
100_500_4_1_5,4580,4582,4582,4582,4582,4582
100_500_4_2_5,8624,4883,4494,8631,8631,8631
100_500_4_3_5,12237,4544,4230,12252,12252,12252
100_500_4_4_5,15873,5825,4964,15887,15887,15887
100_500_4_5_5,19582,4647,4124,11203,19693,19693
100_1000_1_1_5,21538,8110,12125,21538,21538,21538
100_1000_1_2_5,30553,12406,10721,23099,30553,30553
100_1000_1_3_5,42765,9951,12494,16932,42821,42821
100_1000_1_4_5,45810,11711,11150,13648,45810,45810
100_1000_1_5_5,50922,8658,12439,8806,50973,50973
100_1000_2_1_5,10649,10030,9108,10713,10713,10713
100_1000_2_2_5,20352,10948,6805,19409,20438,20438
100_1000_2_3_5,28773,10031,8148,16473,28814,28814
100_1000_2_4_5,36279,9586,5290,11198,36285,36285
100_1000_2_5_5,41099,11833,4758,12271,41106,41106
100_1000_3_1_5,8983,9158,2151,9388,9388,9388
100_1000_3_2_5,17374,11588,1595,17375,17535,17535
100_1000_3_3_5,27155,9742,1520,17476,27192,27192
100_1000_3_4_5,32908,12542,1469,14525,33697,33697
100_1000_3_5_5,39769,9845,1354,10955,40603,40603
100_1000_4_1_5,8991,8998,8998,8998,8998,8998
100_1000_4_2_5,16959,11398,11260,16965,16965,16964
100_1000_4_3_5,26494,9477,8730,18480,26502,26502
100_1000_4_4_5,32885,12352,10464,14582,32887,32887
100_1000_4_5_5,39495,9655,8624,10986,39693,39693
500_50_1_1_5,5900,577,639,5900,5900,5900
500_50_1_2_5,8111,465,549,5016,8111,8111
500_50_1_3_5,10227,401,513,3501,10227,10227
500_50_1_4_5,11913,561,485,2680,11913,11913
500_50_1_5_5,12777,596,480,1809,12777,12777
500_50_2_1_5,2629,475,101,2629,2629,2629
500_50_2_2_5,4968,494,98,4586,4968,4968
500_50_2_3_5,7139,363,101,3260,7139,7139
500_50_2_4_5,8921,369,83,2402,8921,8921
500_50_2_5_5,11242,594,89,1915,11243,11242
500_50_3_1_5,4210,679,170,4218,4218,4218
500_50_3_2_5,7076,652,167,6190,7090,7090
500_50_3_3_5,9717,599,161,5088,9723,9723
500_50_3_4_5,12383,606,156,3587,12388,12388
500_50_3_5_5,15359,732,154,2855,15371,15371
500_50_4_1_5,2138,489,406,2138,2138,2138
500_50_4_2_5,4190,462,354,4190,4190,4190
500_50_4_3_5,6173,409,321,3715,6173,6173
500_50_4_4_5,8308,419,305,2580,8308,8308
500_50_4_5_5,10821,542,371,2075,10821,10821
500_100_1_1_5,12554,1116,1209,9055,12563,12563
