Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
10_50_1_1_5,0,0.015583038,0,0.015604734,0,0.00697279
10_50_1_2_5,0,0.015624046,0,0,0,0.012004614
10_50_1_3_5,0,0,0,0,0,0.010962009
10_50_1_4_5,0,0,0,0,0,0.006999493
10_50_1_5_5,0,0,0,0.015623093,0,0.00999999
10_50_2_1_5,0,0,0,0,0,0.006005526
10_50_2_2_5,0,0,0,0.015624762,0,0.011996508
10_50_2_3_5,0,0,0,0.015622377,0,0.011984587
10_50_2_4_5,0,0.015634775,0,0.015624046,0,0.013000011
10_50_2_5_5,0,0.015629768,0,0.03124404,0,0.01096487
10_50_3_1_5,0,0,0,0,0,0.018999338
10_50_3_2_5,0,0,0,0,0,0.012023211
10_50_3_3_5,0,0,0.015627623,0.015625954,0,0.017000914
10_50_3_4_5,0,0,0,0.015624046,0,0.010037661
10_50_3_5_5,0,0,0.015619993,0.015624285,0,0.007987976
10_50_4_1_5,0,0,0,0.015623093,0,0.008002281
10_50_4_2_5,0,0,0,0,0,0.011997938
10_50_4_3_5,0,0.01559329,0,0,0,0.006036997
10_50_4_4_5,0,0.015623569,0,0.015625,0,0.010053873
10_50_4_5_5,0,0.015622854,0,0.015640736,0,0.011999369
10_100_1_1_5,0,0.015655041,0,0,0,0.010974884
10_100_1_2_5,0,0.01564908,0,0.015623093,0,0.010000944
10_100_1_3_5,0,0,0,0.015605927,0,0.010040283
10_100_1_4_5,0,0,0,0.031247377,0,0.008965731
10_100_1_5_5,0,0,0,0.062494993,0,0.009052753
10_100_2_1_5,0,0,0,0.015625477,0,0.004943132
10_100_2_2_5,0,0,0,0.015623569,0,0.009995937
10_100_2_3_5,0,0,0,0.015624046,0,0.013023615
10_100_2_4_5,0,0,0,0.031246662,0,0.019999743
10_100_2_5_5,0,0.015623569,0,0.046871901,0,0.013016224
10_100_3_1_5,0,0.015601635,0,0,0,0.008999348
10_100_3_2_5,0,0.015655518,0,0.015640259,0,0.030998945
10_100_3_3_5,0,0,0.015624523,0.015623093,0,0.015015125
10_100_3_4_5,0,0.015641928,0,0.046873331,0,0.015999556
10_100_3_5_5,0,0.015604496,0,0.046872616,0,0.013988733
10_100_4_1_5,0,0.015624285,0,0,0,0.01200223
10_100_4_2_5,0,0.015623569,0,0.015624285,0,0.006979227
10_100_4_3_5,0,0,0,0.015622377,0,0.008999825
10_100_4_4_5,0,0,0,0.046888828,0,0.018000126
10_100_4_5_5,0,0,0,0.046854734,0,0.011999846
10_500_1_1_5,0,0,0,0.031244993,0,0.010983467
10_500_1_2_5,0,0,0,0.062495232,0,0.011968851
10_500_1_3_5,0,0,0,0.109387398,0,0.009983063
10_500_1_4_5,0,0.015620947,0,0.171862602,0,0.010012388
10_500_1_5_5,0,0.015624285,0,0.234342813,0,0.005014658
10_500_2_1_5,0,0,0,0.031247377,0,0.009010553
10_500_2_2_5,0,0,0,0.046871901,0,0.009000778
10_500_2_3_5,0,0.015640259,0,0.109362841,0,0.011070013
10_500_2_4_5,0,0,0,0.171864271,0,0.050978899
10_500_2_5_5,0,0,0,0.23436141,0,0.009013653
10_500_3_1_5,0,0,0,0.031244278,0,0.01201725
10_500_3_2_5,0,0,0,0.062495947,0,0.020012617
10_500_3_3_5,0,0,0.015623808,0.093746901,0,0.021945238
10_500_3_4_5,0,0,0.015623093,0.187467337,0,0.087979317
10_500_3_5_5,0,0,0,0.234379053,0,0.014016628
10_500_4_1_5,0,0,0,0.031247616,0,0.012968779
10_500_4_2_5,0,0,0.015623331,0.04685545,0,0.074016571
10_500_4_3_5,0,0,0.015619516,0.093760967,0,0.015037298
10_500_4_4_5,0,0,0.015623569,0.187470913,0,0.115014315
10_500_4_5_5,0,0,0,0.203128338,0,0.011002779
10_1000_1_1_5,0,0,0,0.062495708,0,0.006023407
10_1000_1_2_5,0,0,0,0.156221151,0,0.011057854
10_1000_1_3_5,0,0,0,0.374974489,0,0.008929253
10_1000_1_4_5,0,0,0,0.562464714,0,0.009002686
10_1000_1_5_5,0,0,0,0.578088284,0,0.011039019
10_1000_2_1_5,0,0,0,0.078116894,0,0.01105547
10_1000_2_2_5,0,0,0,0.156239271,0,0.010056257
10_1000_2_3_5,0,0,0,0.203109503,0,0.016946554
10_1000_2_4_5,0,0.015594482,0.015625,0.328119516,0,0.082997561
10_1000_2_5_5,0,0.015593767,0,0.515573978,0,0.013041496
10_1000_3_1_5,0,0.015641212,0,0.062494993,0,0.013006449
10_1000_3_2_5,0,0,0,0.140616417,0,0.075016022
10_1000_3_3_5,0,0,0,0.140631437,0,0.074013948
10_1000_3_4_5,0,0,0,0.437451363,0,0.085050821
10_1000_3_5_5,0,0,0.015627384,0.437488794,0,0.016003609
10_1000_4_1_5,0,0,0,0.046872616,0,0.011019945
10_1000_4_2_5,0,0,0,0.124972343,0,0.07796216
10_1000_4_3_5,0,0.015622616,0,0.140634298,0,0.008039474
10_1000_4_4_5,0,0.015624285,0,0.453094244,0,0.081014872
10_1000_4_5_5,0,0.015643597,0,0.437449932,0,0.015017033
50_50_1_1_5,0,16.63943148,2.937298536,0.078123093,0,0.017997265
50_50_1_2_5,0,12.59288192,10.04619169,0.203111887,0,0.018015623
50_50_1_3_5,0,10.8273294,10.04875231,0.265620947,0,0.033002377
50_50_1_4_5,0,11.57727408,10.05042839,0.390582323,0,0.013002396
50_50_1_5_5,0,11.20236254,10.03852129,0.578083754,0,0.019999504
50_50_2_1_5,0,11.90542722,0.587291479,0.078121424,0.015623569,0.013033152
50_50_2_2_5,0,20.73294473,10.00478244,0.187500715,0,0.017023802
50_50_2_3_5,0,11.79607058,10.06449771,0.281210899,0,0.00993228
50_50_2_4_5,0.000950336,11.48353648,10.04618955,0.374972343,0,0.024998665
50_50_2_5_5,0,11.37419271,10.06181502,0.546837091,0,0.021014929
50_50_3_1_5,0,28.4511497,9.758405447,0.078121662,0,0.013999701
50_50_3_2_5,0,15.56137919,10.07745647,0.187483072,0,0.019964933
50_50_3_3_5,0,11.86764622,10.03849936,0.281234264,0,0.027000189
50_50_3_4_5,0,11.93663049,10.03129721,0.421843052,0,0.017000437
50_50_3_5_5,0,11.73353815,10.04196262,0.609335661,0,0.053001165
50_50_4_1_5,0,28.71677446,0.015649319,0.07811904,0,0.012002468
50_50_4_2_5,0,28.83159685,6.079303503,0.156236172,0,0.018999815
50_50_4_3_5,0,11.59294248,10.05459404,0.203107595,0,0.032997131
50_50_4_4_5,0,11.3741653,10.07236838,0.359347105,0,0.013998032
50_50_4_5_5,0,11.46795511,10.04619408,0.57808423,0,0.009001732
50_100_1_1_5,0,11.38984537,2.452955246,0.171882629,0,0.011999846
50_100_1_2_5,0,10.73362517,10.09077787,0.406206131,0,0.033002615
50_100_1_3_5,0,11.17111397,10.06181312,0.546836376,0,0.011985064
50_100_1_4_5,0,11.98354101,10.05541873,0.84368968,0,0.01800561
50_100_1_5_5,0,10.93673801,10.03503609,1.249933958,0,0.009999752
50_100_2_1_5,0,18.79555702,1.218678951,0.15625453,0,0.020002365
50_100_2_2_5,0,28.78662539,9.568997622,0.359330177,0,0.023001909
50_100_2_3_5,0.000998974,12.09286857,10.08002853,0.531214237,0,0.020980358
50_100_2_4_5,0,11.50645757,10.05718613,0.859319448,0,0.024001598
50_100_2_5_5,0,11.54606771,10.0462079,1.124938726,0,0.031999111
50_100_3_1_5,0,28.73238325,8.0849545,0.171863317,0,0.03198576
50_100_3_2_5,0,10.99919176,10.07744455,0.374954939,0,0.016034603
50_100_3_3_5,0,12.04602027,10.06175661,0.53123188,0,0.018985987
50_100_3_4_5,0,12.21791863,10.05381012,0.890564919,0,0.04699707
50_100_3_5_5,0.000999212,11.03044367,10.04677868,1.265522718,0,0.025998592
50_100_4_1_5,0,28.85737538,0.015582323,0.140610933,0,0.012999535
50_100_4_2_5,0,28.2948885,5.288975477,0.328102112,0,0.008964062
50_100_4_3_5,0,11.5773139,10.07738352,0.484339714,0,0.009951591
50_100_4_4_5,0,11.62417197,10.04917049,0.796837807,0,0.012001038
50_100_4_5_5,0,11.66413689,10.04065132,1.078033686,0.015623808,0.014023781
50_500_1_1_5,0,13.04595327,0.48432374,0.937452555,0,0.025996685
50_500_1_2_5,0,12.28039265,10.0321188,2.18735075,0.015623808,0.0200243
50_500_1_3_5,0,11.32733655,10.07131481,3.202922821,0.015641689,0.013990879
50_500_1_4_5,0,12.01474452,10.04924536,4.109075069,0.015622139,0.011945486
50_500_1_5_5,0,11.1085546,10.05478621,4.952786922,0.015624523,0.014983177
