Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
10_50_1_1_5,51,51,51,51,51,51
10_50_1_2_5,78,84,84,84,84,84
10_50_1_3_5,80,80,80,80,80,80
10_50_1_4_5,116,116,116,116,116,116
10_50_1_5_5,200,240,240,240,240,240
10_50_2_1_5,51,51,51,51,51,51
10_50_2_2_5,74,84,84,84,84,84
10_50_2_3_5,79,83,85,83,83,83
10_50_2_4_5,116,114,116,114,114,114
10_50_2_5_5,234,238,238,238,238,237
10_50_3_1_5,38,51,51,51,51,51
10_50_3_2_5,77,89,89,89,89,89
10_50_3_3_5,95,107,107,107,107,107
10_50_3_4_5,144,144,144,144,144,144
10_50_3_5_5,219,219,219,219,219,219
10_50_4_1_5,47,51,51,51,51,51
10_50_4_2_5,90,90,90,90,90,90
10_50_4_3_5,106,107,107,107,107,107
10_50_4_4_5,138,148,148,148,148,148
10_50_4_5_5,219,220,220,220,220,220
10_100_1_1_5,70,100,100,100,100,100
10_100_1_2_5,185,201,201,201,201,201
10_100_1_3_5,122,124,124,124,124,124
10_100_1_4_5,329,329,329,329,329,329
10_100_1_5_5,414,414,414,414,414,414
10_100_2_1_5,101,101,101,101,101,101
10_100_2_2_5,198,198,198,198,198,198
10_100_2_3_5,131,134,134,134,134,134
10_100_2_4_5,343,343,348,343,343,343
10_100_2_5_5,473,484,484,484,484,484
10_100_3_1_5,81,98,98,98,98,98
10_100_3_2_5,185,185,185,185,185,185
10_100_3_3_5,126,182,182,182,182,182
10_100_3_4_5,378,414,414,414,414,414
10_100_3_5_5,427,511,511,511,511,511
10_100_4_1_5,91,98,98,98,98,98
10_100_4_2_5,180,190,190,190,190,190
10_100_4_3_5,166,182,182,182,182,182
10_100_4_4_5,385,414,414,414,414,414
10_100_4_5_5,504,511,511,511,511,511
10_500_1_1_5,330,472,472,472,472,472
10_500_1_2_5,496,718,718,718,718,718
10_500_1_3_5,1090,1170,1170,1170,1170,1170
10_500_1_4_5,1759,1942,1759,1942,1942,1759
10_500_1_5_5,2307,2307,2307,2307,2307,2307
10_500_2_1_5,495,495,495,495,495,495
10_500_2_2_5,693,728,728,728,728,728
10_500_2_3_5,1159,1183,1183,1183,1183,1183
10_500_2_4_5,1858,1946,1946,1946,1946,1946
10_500_2_5_5,1968,2307,2307,2307,2307,2307
10_500_3_1_5,382,545,545,545,545,545
10_500_3_2_5,570,788,788,788,788,788
10_500_3_3_5,899,1032,1032,1032,1032,1032
