Problem,Greedy_profit,Greedy_weight,Greedy_time,BF_profit,BF_weight,BF_time,B&B_profit,B&B_weight,B&B_time,DP_profit,DP_weight,DP_time,DP_OR_profit,DP_OR_weight,DP_OR_time,IP_OR_profit,IP_OR_weight,IP_OR_time
10_50_1_1_5,123,51,0,123,51,0.015583038,123,51,0,123,51,0.015604734,123,51,0,123,51,0.00697279
10_50_1_2_5,124,78,0,127,84,0.015624046,127,84,0,127,84,0,127,84,0,127,84,0.012004614
10_50_1_3_5,167,80,0,167,80,0,167,80,0,167,80,0,167,80,0,167,80,0.010962009
10_50_1_4_5,222,116,0,222,116,0,222,116,0,222,116,0,222,116,0,222,116,0.006999493
10_50_1_5_5,235,200,0,244,240,0,244,240,0,244,240,0.015623093,244,240,0,244,240,0.00999999
10_50_2_1_5,64,51,0,64,51,0,64,51,0,64,51,0,64,51,0,64,51,0.006005526
10_50_2_2_5,85,74,0,91,84,0,91,84,0,91,84,0.015624762,91,84,0,91,84,0.011996508
10_50_2_3_5,87,79,0,91,83,0,91,85,0,91,83,0.015622377,91,83,0,91,83,0.011984587
10_50_2_4_5,123,116,0,123,114,0.015634775,123,116,0,123,114,0.015624046,123,114,0,123,114,0.013000011
10_50_2_5_5,242,234,0,243,238,0.015629768,243,238,0,243,238,0.03124404,243,238,0,243,237,0.01096487
10_50_3_1_5,68,38,0,81,51,0,81,51,0,81,51,0,81,51,0,81,51,0.018999338
10_50_3_2_5,127,77,0,139,89,0,139,89,0,139,89,0,139,89,0,139,89,0.012023211
10_50_3_3_5,155,95,0,167,107,0,167,107,0.015627623,167,107,0.015625954,167,107,0,167,107,0.017000914
10_50_3_4_5,224,144,0,224,144,0,224,144,0,224,144,0.015624046,224,144,0,224,144,0.010037661
10_50_3_5_5,309,219,0,309,219,0,309,219,0.015619993,309,219,0.015624285,309,219,0,309,219,0.007987976
10_50_4_1_5,47,47,0,51,51,0,51,51,0,51,51,0.015623093,51,51,0,51,51,0.008002281
10_50_4_2_5,90,90,0,90,90,0,90,90,0,90,90,0,90,90,0,90,90,0.011997938
10_50_4_3_5,106,106,0,107,107,0.01559329,107,107,0,107,107,0,107,107,0,107,107,0.006036997
10_50_4_4_5,138,138,0,148,148,0.015623569,148,148,0,148,148,0.015625,148,148,0,148,148,0.010053873
10_50_4_5_5,219,219,0,220,220,0.015622854,220,220,0,220,220,0.015640736,220,220,0,220,220,0.011999369
10_100_1_1_5,273,70,0,281,100,0.015655041,281,100,0,281,100,0,281,100,0,281,100,0.010974884
10_100_1_2_5,296,185,0,302,201,0.01564908,302,201,0,302,201,0.015623093,302,201,0,302,201,0.010000944
10_100_1_3_5,437,122,0,438,124,0,438,124,0,438,124,0.015605927,438,124,0,438,124,0.010040283
10_100_1_4_5,528,329,0,528,329,0,528,329,0,528,329,0.031247377,528,329,0,528,329,0.008965731
10_100_1_5_5,631,414,0,631,414,0,631,414,0,631,414,0.062494993,631,414,0,631,414,0.009052753
10_100_2_1_5,126,101,0,126,101,0,126,101,0,126,101,0.015625477,126,101,0,126,101,0.004943132
10_100_2_2_5,215,198,0,215,198,0,215,198,0,215,198,0.015623569,215,198,0,215,198,0.009995937
10_100_2_3_5,160,131,0,170,134,0,170,134,0,170,134,0.015624046,170,134,0,170,134,0.013023615
10_100_2_4_5,357,343,0,357,343,0,357,348,0,357,343,0.031246662,357,343,0,357,343,0.019999743
10_100_2_5_5,496,473,0,505,484,0.015623569,505,484,0,505,484,0.046871901,505,484,0,505,484,0.013016224
