Problem	Greedy_profit	Greedy_weight	Greedy_time	BF_profit	BF_weight	BF_time	B&B_profit	B&B_weight	B&B_time	DP_profit	DP_weight	DP_time	DP_OR_profit	DP_OR_weight	DP_OR_time	IP_OR_profit	IP_OR_weight	IP_OR_time
10_50_1_1_5	123	51	0	123	51	0.015583038330078125	123	51	0.0	123	51	0.015604734420776367	123	51	0.0	123	51	0.006972789764404297
10_50_1_2_5	124	78	0	127	84	0.015624046325683594	127	84	0.0	127	84	0.0	127	84	0.0	127	84	0.012004613876342773
10_50_1_3_5	167	80	0	167	80	0.0	167	80	0.0	167	80	0.0	167	80	0.0	167	80	0.01096200942993164
10_50_1_4_5	222	116	0	222	116	0.0	222	116	0.0	222	116	0.0	222	116	0.0	222	116	0.006999492645263672
10_50_1_5_5	235	200	0	244	240	0.0	244	240	0.0	244	240	0.015623092651367188	244	240	0.0	244	240	0.009999990463256836
10_50_2_1_5	64	51	0	64	51	0.0	64	51	0.0	64	51	0.0	64	51	0.0	64	51	0.006005525588989258
10_50_2_2_5	85	74	0	91	84	0.0	91	84	0.0	91	84	0.015624761581420898	91	84	0.0	91	84	0.01199650764465332
10_50_2_3_5	87	79	0	91	83	0.0	91	85	0.0	91	83	0.015622377395629883	91	83	0.0	91	83	0.011984586715698242
10_50_2_4_5	123	116	0	123	114	0.015634775161743164	123	116	0.0	123	114	0.015624046325683594	123	114	0.0	123	114	0.013000011444091797
10_50_2_5_5	242	234	0	243	238	0.01562976837158203	243	238	0.0	243	238	0.03124403953552246	243	238	0.0	243	237	0.01096487045288086
10_50_3_1_5	68	38	0	81	51	0.0	81	51	0.0	81	51	0.0	81	51	0.0	81	51	0.018999338150024414
10_50_3_2_5	127	77	0	139	89	0.0	139	89	0.0	139	89	0.0	139	89	0.0	139	89	0.012023210525512695
10_50_3_3_5	155	95	0	167	107	0.0	167	107	0.015627622604370117	167	107	0.015625953674316406	167	107	0.0	167	107	0.017000913619995117
10_50_3_4_5	224	144	0	224	144	0.0	224	144	0.0	224	144	0.015624046325683594	224	144	0.0	224	144	0.010037660598754883
10_50_3_5_5	309	219	0	309	219	0.0	309	219	0.015619993209838867	309	219	0.015624284744262695	309	219	0.0	309	219	0.00798797607421875
10_50_4_1_5	47	47	0	51	51	0.0	51	51	0.0	51	51	0.015623092651367188	51	51	0.0	51	51	0.008002281188964844
10_50_4_2_5	90	90	0	90	90	0.0	90	90	0.0	90	90	0.0	90	90	0.0	90	90	0.01199793815612793
10_50_4_3_5	106	106	0	107	107	0.015593290328979492	107	107	0.0	107	107	0.0	107	107	0.0	107	107	0.006036996841430664
10_50_4_4_5	138	138	0	148	148	0.01562356948852539	148	148	0.0	148	148	0.015625	148	148	0.0	148	148	0.010053873062133789
10_50_4_5_5	219	219	0	220	220	0.015622854232788086	220	220	0.0	220	220	0.015640735626220703	220	220	0.0	220	220	0.011999368667602539
10_100_1_1_5	273	70	0	281	100	0.015655040740966797	281	100	0.0	281	100	0.0	281	100	0.0	281	100	0.010974884033203125
10_100_1_2_5	296	185	0	302	201	0.015649080276489258	302	201	0.0	302	201	0.015623092651367188	302	201	0.0	302	201	0.010000944137573242
10_100_1_3_5	437	122	0	438	124	0.0	438	124	0.0	438	124	0.015605926513671875	438	124	0.0	438	124	0.010040283203125
10_100_1_4_5	528	329	0	528	329	0.0	528	329	0.0	528	329	0.031247377395629883	528	329	0.0	528	329	0.008965730667114258
10_100_1_5_5	631	414	0	631	414	0.0	631	414	0.0	631	414	0.06249499320983887	631	414	0.0	631	414	0.009052753448486328
10_100_2_1_5	126	101	0	126	101	0.0	126	101	0.0	126	101	0.015625476837158203	126	101	0.0	126	101	0.004943132400512695
10_100_2_2_5	215	198	0	215	198	0.0	215	198	0.0	215	198	0.01562356948852539	215	198	0.0	215	198	0.00999593734741211
10_100_2_3_5	160	131	0	170	134	0.0	170	134	0.0	170	134	0.015624046325683594	170	134	0.0	170	134	0.013023614883422852
10_100_2_4_5	357	343	0	357	343	0.0	357	348	0.0	357	343	0.031246662139892578	357	343	0.0	357	343	0.01999974250793457
10_100_2_5_5	496	473	0	505	484	0.01562356948852539	505	484	0.0	505	484	0.04687190055847168	505	484	0.0	505	484	0.013016223907470703
10_100_3_1_5	111	81	0	128	98	0.015601634979248047	128	98	0.0	128	98	0.0	128	98	0.0	128	98	0.008999347686767578
10_100_3_2_5	235	185	0	235	185	0.015655517578125	235	185	0.0	235	185	0.0156402587890625	235	185	0.0	235	185	0.030998945236206055
10_100_3_3_5	196	126	0	252	182	0.0	252	182	0.015624523162841797	252	182	0.015623092651367188	252	182	0.0	252	182	0.015015125274658203
10_100_3_4_5	448	378	0	484	414	0.01564192771911621	484	414	0.0	484	414	0.04687333106994629	484	414	0.0	484	414	0.015999555587768555
10_100_3_5_5	507	427	0	591	511	0.015604496002197266	591	511	0.0	591	511	0.046872615814208984	591	511	0.0	591	511	0.013988733291625977
10_100_4_1_5	91	91	0	98	98	0.015624284744262695	98	98	0.0	98	98	0.0	98	98	0.0	98	98	0.012002229690551758
10_100_4_2_5	180	180	0	190	190	0.01562356948852539	190	190	0.0	190	190	0.015624284744262695	190	190	0.0	190	190	0.006979227066040039
10_100_4_3_5	166	166	0	182	182	0.0	182	182	0.0	182	182	0.015622377395629883	182	182	0.0	182	182	0.008999824523925781
10_100_4_4_5	385	385	0	414	414	0.0	414	414	0.0	414	414	0.04688882827758789	414	414	0.0	414	414	0.018000125885009766
10_100_4_5_5	504	504	0	511	511	0.0	511	511	0.0	511	511	0.04685473442077637	511	511	0.0	511	511	0.011999845504760742
10_500_1_1_5	1013	330	0	1104	472	0.0	1104	472	0.0	1104	472	0.031244993209838867	1104	472	0.0	1104	472	0.010983467102050781
10_500_1_2_5	1376	496	0	1598	718	0.0	1598	718	0.0	1598	718	0.06249523162841797	1598	718	0.0	1598	718	0.011968851089477539
10_500_1_3_5	1494	1090	0	1501	1170	0.0	1501	1170	0.0	1501	1170	0.10938739776611328	1501	1170	0.0	1501	1170	0.009983062744140625
10_500_1_4_5	2589	1759	0	2589	1942	0.015620946884155273	2589	1759	0.0	2589	1942	0.17186260223388672	2589	1942	0.0	2589	1759	0.010012388229370117
10_500_1_5_5	1943	2307	0	1943	2307	0.015624284744262695	1943	2307	0.0	1943	2307	0.2343428134918213	1943	2307	0.0	1943	2307	0.005014657974243164
10_500_2_1_5	541	495	0	541	495	0.0	541	495	0.0	541	495	0.031247377395629883	541	495	0.0	541	495	0.009010553359985352
10_500_2_2_5	817	693	0	847	728	0.0	847	728	0.0	847	728	0.04687190055847168	847	728	0.0	847	728	0.009000778198242188
10_500_2_3_5	1216	1159	0	1233	1183	0.0156402587890625	1233	1183	0.0	1233	1183	0.10936284065246582	1233	1183	0.0	1233	1183	0.011070013046264648
10_500_2_4_5	1953	1858	0	1996	1946	0.0	1996	1946	0.0	1996	1946	0.17186427116394043	1996	1946	0.0	1996	1946	0.050978899002075195
10_500_2_5_5	2137	1968	0	2418	2307	0.0	2418	2307	0.0	2418	2307	0.2343614101409912	2418	2307	0.0	2418	2307	0.009013652801513672
10_500_3_1_5	402	382	0	565	545	0.0	565	545	0.0	565	545	0.031244277954101562	565	545	0.0	565	545	0.012017250061035156
10_500_3_2_5	620	570	0	838	788	0.0	838	788	0.0	838	788	0.06249594688415527	838	788	0.0	838	788	0.020012617111206055
10_500_3_3_5	969	899	0	1092	1032	0.0	1092	1032	0.015623807907104492	1092	1032	0.09374690055847168	1092	1032	0.0	1092	1032	0.02194523811340332
10_500_3_4_5	1787	1717	0	2077	2007	0.0	2077	2007	0.015623092651367188	2077	2007	0.18746733665466309	2077	2007	0.0	2077	2007	0.08797931671142578
10_500_3_5_5	1972	1892	0	2342	2262	0.0	2342	2262	0.0	2342	2262	0.23437905311584473	2342	2262	0.0	2342	2262	0.01401662826538086
10_500_4_1_5	545	545	0	545	545	0.0	545	545	0.0	545	545	0.031247615814208984	545	545	0.0	545	545	0.012968778610229492
10_500_4_2_5	780	780	0	788	788	0.0	788	788	0.015623331069946289	788	788	0.04685544967651367	788	788	0.0	788	788	0.07401657104492188
10_500_4_3_5	989	989	0	1032	1032	0.0	1032	1032	0.015619516372680664	1032	1032	0.09376096725463867	1032	1032	0.0	1032	1032	0.015037298202514648
10_500_4_4_5	1938	1938	0	2013	2013	0.0	2013	2013	0.01562356948852539	2013	2013	0.1874709129333496	2013	2013	0.0	2013	2013	0.11501431465148926
10_500_4_5_5	2164	2164	0	2262	2262	0.0	2262	2262	0.0	2262	2262	0.20312833786010742	2262	2262	0.0	2262	2262	0.011002779006958008
10_1000_1_1_5	1136	616	0	1185	931	0.0	1185	931	0.0	1185	931	0.06249570846557617	1185	931	0.0	1185	931	0.006023406982421875
10_1000_1_2_5	2711	1478	0	3009	1753	0.0	3009	1753	0.0	3009	1753	0.1562211513519287	3009	1753	0.0	3009	1753	0.011057853698730469
10_1000_1_3_5	3668	2089	0	3725	2152	0.0	3725	2152	0.0	3725	2152	0.37497448921203613	3725	2152	0.0	3725	2152	0.008929252624511719
10_1000_1_4_5	5794	3531	0	5794	3531	0.0	5794	3531	0.0	5794	3531	0.562464714050293	5794	3531	0.0	5794	3531	0.009002685546875
10_1000_1_5_5	3331	4414	0	3376	4799	0.0	3376	4799	0.0	3376	4799	0.5780882835388184	3376	4799	0.0	3376	4799	0.011039018630981445
10_1000_2_1_5	1052	931	0	1052	931	0.0	1052	931	0.0	1052	931	0.07811689376831055	1052	931	0.0	1052	931	0.011055469512939453
10_1000_2_2_5	2048	1816	0	2139	1898	0.0	2139	1898	0.0	2139	1898	0.15623927116394043	2139	1898	0.0	2139	1898	0.010056257247924805
10_1000_2_3_5	1921	1816	0	2148	2181	0.0	2148	2181	0.0	2148	2181	0.2031095027923584	2148	2181	0.0	2148	2181	0.01694655418395996
10_1000_2_4_5	3692	3539	0	3692	3539	0.015594482421875	3692	3539	0.015625	3692	3539	0.32811951637268066	3692	3539	0.0	3692	3539	0.08299756050109863
10_1000_2_5_5	5369	5122	0	5421	5174	0.015593767166137695	5421	5174	0.0	5421	5174	0.5155739784240723	5421	5174	0.0	5421	5174	0.013041496276855469
10_1000_3_1_5	1017	987	0	1156	1136	0.015641212463378906	1156	1136	0.0	1156	1136	0.06249499320983887	1156	1136	0.0	1156	1136	0.013006448745727539
10_1000_3_2_5	1563	1523	0	1983	1953	0.0	1983	1953	0.0	1983	1953	0.14061641693115234	1983	1953	0.0	1983	1953	0.07501602172851562
10_1000_3_3_5	1320	1250	0	1589	1529	0.0	1589	1529	0.0	1589	1529	0.14063143730163574	1589	1529	0.0	1589	1529	0.07401394844055176
10_1000_3_4_5	4287	4217	0	4740	4670	0.0	4740	4670	0.0	4740	4670	0.4374513626098633	4740	4670	0.0	4740	4670	0.08505082130432129
10_1000_3_5_5	4378	4288	0	4413	4323	0.0	4413	4323	0.015627384185791016	4413	4323	0.4374887943267822	4413	4323	0.0	4413	4323	0.01600360870361328
10_1000_4_1_5	1091	1091	0	1136	1136	0.0	1136	1136	0.0	1136	1136	0.046872615814208984	1136	1136	0.0	1136	1136	0.01101994514465332
