Problem,Total_Value,Total_Weight,Selected_Items,Time
10_50_1_1_5,123,51,3-10-9-5,0.0
10_50_1_2_5,127,84,7-5-9-3,0.0
10_50_1_3_5,167,80,3-1-8-6-5-9,0.0
10_50_1_4_5,222,116,2-7-8-5-10-6-3-9,0.0
10_50_1_5_5,244,240,6-5-10-4-2-3-7-8,0.0
10_50_2_1_5,64,51,3-9-10-5,0.0
10_50_2_2_5,91,84,9-5-2-7,0.0
10_50_2_3_5,91,85,1-8-7-10,0.0
10_50_2_4_5,123,116,5-7-3-4-9-10-8,0.0
10_50_2_5_5,243,238,10-2-8-1-9-7-3,0.0
10_50_3_1_5,81,51,5-6-10,0.0
10_50_3_2_5,139,89,4-2-6-3-5,0.0
10_50_3_3_5,167,107,5-9-1-8-10-7,0.015627622604370117
10_50_3_4_5,224,144,3-8-9-2-7-5-4-6,0.0
10_50_3_5_5,309,219,1-2-9-10-7-8-6-4-3,0.015619993209838867
10_50_4_1_5,51,51,1-5-9,0.0
10_50_4_2_5,90,90,1-3-9,0.0
10_50_4_3_5,107,107,1-2-4-6,0.0
10_50_4_4_5,148,148,1-2-4-6-7-9,0.0
10_50_4_5_5,220,220,2-3-4-5-6-7-10,0.0
10_100_1_1_5,281,100,5-9-4-2,0.0
10_100_1_2_5,302,201,7-6-3-2-8,0.0
10_100_1_3_5,438,124,3-1-8-2-10-5-7,0.0
10_100_1_4_5,528,329,6-9-1-2-5-7-3,0.0
10_100_1_5_5,631,414,5-10-4-3-6-1-2-8,0.0
10_100_2_1_5,126,101,5-9-10-3,0.0
10_100_2_2_5,215,198,6-4-1-7,0.0
10_100_2_3_5,170,134,3-10-4-8-6,0.0
10_100_2_4_5,357,348,6-9-10-8-4-2-7,0.0
10_100_2_5_5,505,484,5-3-6-2-7-8-9,0.0
10_100_3_1_5,128,98,9-2-3,0.0
10_100_3_2_5,235,185,2-5-8-10-4,0.0
10_100_3_3_5,252,182,5-9-1-3-10-7-6,0.015624523162841797
10_100_3_4_5,484,414,8-1-3-5-4-6-10,0.0
10_100_3_5_5,591,511,7-5-1-2-10-8-6-4,0.0
10_100_4_1_5,98,98,2-5,0.0
10_100_4_2_5,190,190,1-5-9,0.0
10_100_4_3_5,182,182,1-4-5-6-9,0.0
10_100_4_4_5,414,414,2-3-4-6-7-9,0.0
10_100_4_5_5,511,511,1-2-4-5-6-7-8-10,0.0
10_500_1_1_5,1104,472,8-7-3,0.0
10_500_1_2_5,1598,718,6-3-8-9-7,0.0
10_500_1_3_5,1501,1170,3-5-9-6-4,0.0
10_500_1_4_5,2589,1759,5-3-2-9-6-7-10,0.0
10_500_1_5_5,1943,2307,5-8-1-3-2-4-10-6-9,0.0
10_500_2_1_5,541,495,5-1,0.0
10_500_2_2_5,847,728,9-8-2-4,0.0
10_500_2_3_5,1233,1183,3-7-6-4-9,0.0
10_500_2_4_5,1996,1946,6-9-7-1-8-2,0.0
10_500_2_5_5,2418,2307,8-1-6-10-3-2-4-9-5,0.0
10_500_3_1_5,565,545,8-10,0.0
10_500_3_2_5,838,788,7-10-4-6-8,0.0
10_500_3_3_5,1092,1032,5-9-2-6-8-3,0.015623807907104492
10_500_3_4_5,2077,2007,9-5-8-7-4-6-1,0.015623092651367188
10_500_3_5_5,2342,2262,9-1-2-8-5-4-3-7,0.0
10_500_4_1_5,545,545,8-10,0.0
10_500_4_2_5,788,788,4-5-6-7-9,0.015623331069946289
10_500_4_3_5,1032,1032,2-3-5-6-8-9,0.015619516372680664
10_500_4_4_5,2013,2013,1-2-6-7-9-10,0.01562356948852539
10_500_4_5_5,2262,2262,1-2-3-4-5-7-8-9,0.0
10_1000_1_1_5,1185,931,7-3,0.0
10_1000_1_2_5,3009,1753,4-9-8-7,0.0
10_1000_1_3_5,3725,2152,5-3-6-2-7-10,0.0
10_1000_1_4_5,5794,3531,5-6-2-9-3-7-10-4,0.0
10_1000_1_5_5,3376,4799,8-6-3-2-1-4-10-9,0.0
10_1000_2_1_5,1052,931,7-3,0.0
10_1000_2_2_5,2139,1898,4-1-6-7,0.0
10_1000_2_3_5,2148,2181,1-8-2-10-3,0.0
10_1000_2_4_5,3692,3539,5-6-2-10-1-4-9,0.015625
10_1000_2_5_5,5421,5174,7-4-9-2-10-1,0.0
10_1000_3_1_5,1156,1136,8-6,0.0
10_1000_3_2_5,1983,1953,5-4-3,0.0
10_1000_3_3_5,1589,1529,5-9-2-8-7-4,0.0
10_1000_3_4_5,4740,4670,9-3-5-7-6-1-10,0.0
10_1000_3_5_5,4413,4323,10-2-8-5-6-9-1-3-7,0.015627384185791016
10_1000_4_1_5,1136,1136,6-8,0.0
10_1000_4_2_5,1953,1953,3-4-5,0.0
10_1000_4_3_5,1532,1532,3-4-5-7-9,0.0
10_1000_4_4_5,4676,4676,2-4-5-6-7-8,0.0
10_1000_4_5_5,4331,4331,1-3-4-6-7-9-10,0.0
50_50_1_1_5,563,181,50-28-35-41-13-17-39-3-21-22-10-29-20-38-9-48-42-18-5-46,2.937298536300659
50_50_1_2_5,651,268,19-7-47-45-35-21-32-43-5-46-16-18-24-4-27-30-49-29-44,10.046191692352295
50_50_1_3_5,702,227,27-35-46-37-41-13-3-24-44-21-1-42-25-8-48-12-50-6-31,10.048752307891846
50_50_1_4_5,661,163,13-2-46-23-11-40-31-48-7-8-36-17-16-38-5-28-21-12,10.05042839050293
50_50_1_5_5,603,238,41-14-29-23-25-32-22-19-6-5-10-47-44-39-16-49-15-21,10.03852128982544
50_50_2_1_5,241,181,21-46-17-35-28-38-3-15-42-29-9-10-47-5-27-13,0.5872914791107178
50_50_2_2_5,463,402,25-47-32-13-46-50-10-11-37-44-9-29-12-24-5-6-22-2-38,10.004782438278198
50_50_2_3_5,335,281,35-27-41-26-46-29-34-44-1-28-14-21-8-30-7-9-11-17-48,10.064497709274292
50_50_2_4_5,353,299,35-17-36-45-5-7-30-23-48-40-3-29-38-47-14-33-42-37,10.046189546585083
50_50_2_5_5,520,458,41-50-14-40-47-37-10-19-12-43-34-28-2-13-48-8-31-30,10.061815023422241
50_50_3_1_5,412,212,41-42-43-5-29-12-33-50-39-30-44-25-11-9-14-6-8-35-16-17,9.758405447006226
