Problem,Total_Value,Total_Weight,Selected_Items,Time
10_50_1_1_5,123,51,10-3-5-9,0.015583038330078125
10_50_1_2_5,127,84,3-5-7-9,0.015624046325683594
10_50_1_3_5,167,80,1-3-5-6-8-9,0.0
10_50_1_4_5,222,116,10-2-3-5-6-7-8-9,0.0
10_50_1_5_5,244,240,10-2-3-4-5-6-7-8,0.0
10_50_2_1_5,64,51,10-3-5-9,0.0
10_50_2_2_5,91,84,2-5-7-9,0.0
10_50_2_3_5,91,83,1-3-6-7-8,0.0
10_50_2_4_5,123,114,2-3-4-5-6-7-9,0.015634775161743164
10_50_2_5_5,243,238,1-10-2-3-7-8-9,0.01562976837158203
10_50_3_1_5,81,51,1-5-9,0.0
10_50_3_2_5,139,89,2-3-4-5-6,0.0
10_50_3_3_5,167,107,1-3-4-5-6-8,0.0
10_50_3_4_5,224,144,2-3-4-5-6-7-8-9,0.0
10_50_3_5_5,309,219,1-10-2-3-4-6-7-8-9,0.0
10_50_4_1_5,51,51,1-5-9,0.0
10_50_4_2_5,90,90,1-3-9,0.0
10_50_4_3_5,107,107,1-2-4-6,0.015593290328979492
10_50_4_4_5,148,148,1-2-4-6-7-9,0.01562356948852539
10_50_4_5_5,220,220,10-2-3-4-5-6-7,0.015622854232788086
10_100_1_1_5,281,100,2-4-5-9,0.015655040740966797
10_100_1_2_5,302,201,2-3-6-7-8,0.015649080276489258
10_100_1_3_5,438,124,1-10-2-3-5-7-8,0.0
10_100_1_4_5,528,329,1-2-3-5-6-7-9,0.0
10_100_1_5_5,631,414,1-10-2-3-4-5-6-8,0.0
10_100_2_1_5,126,101,10-3-5-9,0.0
10_100_2_2_5,215,198,1-4-6-7,0.0
10_100_2_3_5,170,134,10-3-4-6-8,0.0
10_100_2_4_5,357,343,1-10-4-5-6-8-9,0.0
10_100_2_5_5,505,484,2-3-5-6-7-8-9,0.01562356948852539
10_100_3_1_5,128,98,2-3-9,0.015601634979248047
10_100_3_2_5,235,185,10-2-4-5-8,0.015655517578125
10_100_3_3_5,252,182,1-10-3-5-6-7-9,0.0
10_100_3_4_5,484,414,1-10-3-4-5-6-8,0.01564192771911621
10_100_3_5_5,591,511,1-10-2-4-5-6-7-8,0.015604496002197266
10_100_4_1_5,98,98,2-5,0.015624284744262695
